iso3,name,capital,region,income_level,latitude,longitude,population,population_density,area_km2,urban_pct,gdp_usd,gdp_per_capita_usd,gdp_growth_pct,inflation_pct,unemployment_pct,life_expectancy_years,internet_users_pct
ABW,Aruba,Oranjestad,Latin America & Caribbean ,High income,12.5167,-70.0167,107995,596.438888888889,180,61.7909396819594,4167588070.29217,38590.5650288641,6.81077669324554,4.25746204335427,,76.5,
AFG,Afghanistan,Kabul,"Middle East, North Africa, Afghanistan & Pakistan",Low income,34.5228,69.1761,42647492,63.5585008355948,652870,25.7007352636188,17778508875.7396,416.871146273728,1.87319280045979,-6.60118564073726,13.687,66.289,16.09499931
AGO,Angola,Luanda,Sub-Saharan Africa ,Lower middle income,-8.81155,13.242,37885849,29.4777460495709,1246700,70.6551379036435,103080538044.058,2720.81900669715,4.95267860425956,28.2404948915772,14.02,64.805,40.70479965
ALB,Albania,Tirane,Europe & Central Asia,Upper middle income,41.3317,19.8172,2377128,88.0167153284672,28750,58.5463634043555,27037474263.2977,11374.0085781236,4.04592845095348,2.21587375089992,10.689,79.776,85.86389923
AND,Andorra,Andorra la Vella,Europe & Central Asia,High income,42.5075,1.5218,81938,172.034042553191,470,88.8850044816278,4044249678.65625,49357.437070178,3.8491605039052,,,84.188,94.39759827
ARE,United Arab Emirates,Abu Dhabi,"Middle East, North Africa, Afghanistan & Pakistan",High income,24.4764,54.3705,10986400,147.616882568291,98647.9,85.8171088279791,552324919095.872,50273.5126243239,3.99181200361831,1.66336510224894,2.16,83.069,100
ARG,Argentina,Buenos Aires,Latin America & Caribbean ,Upper middle income,-34.6118,-58.4173,45696159,16.6399559321662,2780400,92.2742315972952,638365455340.04,13969.7836603737,-1.34293072157739,219.883929014578,7.15,77.543,89.66715228
ARM,Armenia,Yerevan,Europe & Central Asia,Upper middle income,40.1596,44.509,3033500,105.119108748259,29740,65.8113671449901,25955275380.0321,8556.21406956719,5.90000000046228,0.269511978259125,12.405,78.319512195122,81.33930206
ASM,American Samoa,Pago Pago,East Asia & Pacific,High income,-14.2846,-170.691,46765,237.605,200,80.9446986961818,871000000,18017.4589383973,1.73501577287065,,,72.992,
ATG,Antigua and Barbuda,Saint John's,Latin America & Caribbean ,High income,17.1175,-61.8456,93772,212.081818181818,440,24.3906919254799,2162366666.66667,23059.8330702839,2.54044193946544,6.19886698842116,,77.766,72.73040009
AUS,Australia,Canberra,East Asia & Pacific,High income,-35.282,149.129,27194286,3.46591948538875,7741220,87.6021469990446,1757022451652.83,64609.9865116088,1.37340773365975,3.16656665428797,3.942,83.0512195121951,96.13140106
AUT,Austria,Vienna,Europe & Central Asia,High income,48.2201,16.3798,9177982,110.661185167232,83879,69.4658181096788,534790720466.822,58268.8787651601,-0.659089573171372,2.93791574279376,5.2,81.9951219512195,94.91974877
AZE,Azerbaijan,Baku,Europe & Central Asia,Upper middle income,40.3834,49.8932,10202830,122.854906231095,86600,58.573795837717,74426000000,7294.64276088105,4.15806800428062,2.21217188919901,5.648,74.576,90.43979645
BDI,Burundi,Bujumbura,Sub-Saharan Africa ,Low income,-3.3784,29.3639,14047786,533.078271028037,27830,24.8302838651025,3037579858.38142,216.231928531758,4.11227376394912,20.2124925027847,0.915,63.818,8.595999718
BEL,Belgium,Brussels,Europe & Central Asia,High income,50.8371,4.36761,11858610,386.303731881682,30689,87.6126557010527,670983130618.828,56581.9375642531,1.09775383828703,3.14349136500041,5.7,82.3,95.77579144
BEN,Benin,Porto-Novo,Sub-Saharan Africa ,Lower middle income,6.4779,2.6323,14462724,125.142195814118,114760,52.5455354818423,21482643706.4249,1485.38018885134,7.45311566226201,1.16093089640415,1.637,60.961,33.98379898
BFA,Burkina Faso,Ouagadougou,Sub-Saharan Africa ,Low income,12.3605,-1.53395,23548781,84.1585380116959,274200,28.3352514896662,23136514855.7646,982.493100418428,4.83395810163883,4.19081721344523,3.441,61.292,28.25270081
BGD,Bangladesh,Dhaka,South Asia,Lower middle income,23.7055,90.4113,173562364,1319.17979689183,147570,32.6783196323307,450119432068.852,2593.41611680774,4.22325911250161,10.4657482763412,3.635,74.93,53.42171316
BGR,Bulgaria,Sofia,Europe & Central Asia,High income,42.7105,23.3238,6441421,59.3827929255711,110996.758,73.9499356882481,113349149166.793,17596.9167621233,3.38708962009333,2.44651943006079,4.2,75.7609756097561,82.438955
BHR,Bahrain,Manama,"Middle East, North Africa, Afghanistan & Pakistan",High income,26.1921,50.5354,1588670,1971.32375,800,100,47210732712.766,29717.1424605273,2.89710543153512,0.919635459817651,1.084,81.423,100
BHS,"Bahamas, The",Nassau,Latin America & Caribbean ,High income,25.0661,-77.339,401283,39.9040959040959,13880,81.3249262966481,15832800000,39455.4466548546,3.37866553336166,0.409162489083286,9.049,74.71,92.47270203
BIH,Bosnia and Herzegovina,Sarajevo,Europe & Central Asia,Upper middle income,43.8607,18.4214,3164253,62.20845703125,51210,52.1224302754935,29737363103.0492,9397.90942855997,3.22679979810856,6.1059011284828,10.69,78.044,86.10091103
