iso3,official_name,currency_name,currency_code,currency_symbol,currencies,languages
ABW,Aruba,Aruban florin,AWG,ƒ,Aruban florin (AWG),"Dutch, Papiamento"
AFG,Islamic Republic of Afghanistan,Afghan afghani,AFN,؋,Afghan afghani (AFN),"Dari, Pashto, Turkmen"
AGO,Republic of Angola,Angolan kwanza,AOA,Kz,Angolan kwanza (AOA),Portuguese
ALB,Republic of Albania,Albanian lek,ALL,L,Albanian lek (ALL),Albanian
AND,Principality of Andorra,Euro,EUR,€,Euro (EUR),Catalan
ARE,United Arab Emirates,United Arab Emirates dirham,AED,د.إ,United Arab Emirates dirham (AED),Arabic
ARG,Argentine Republic,Argentine peso,ARS,$,Argentine peso (ARS),"Guaraní, Spanish"
ARM,Republic of Armenia,Armenian dram,AMD,֏,Armenian dram (AMD),Armenian
ASM,American Samoa,United States dollar,USD,$,United States dollar (USD),"English, Samoan"
ATG,Antigua and Barbuda,Eastern Caribbean dollar,XCD,$,Eastern Caribbean dollar (XCD),English
AUS,Commonwealth of Australia,Australian dollar,AUD,$,Australian dollar (AUD),English
AUT,Republic of Austria,Euro,EUR,€,Euro (EUR),German
AZE,Republic of Azerbaijan,Azerbaijani manat,AZN,₼,Azerbaijani manat (AZN),"Azerbaijani, Russian"
BDI,Republic of Burundi,Burundian franc,BIF,Fr,Burundian franc (BIF),"French, Kirundi"
BEL,Kingdom of Belgium,Euro,EUR,€,Euro (EUR),"German, French, Dutch"
BEN,Republic of Benin,West African CFA franc,XOF,Fr,West African CFA franc (XOF),French
BFA,Burkina Faso,West African CFA franc,XOF,Fr,West African CFA franc (XOF),French
BGD,People's Republic of Bangladesh,Bangladeshi taka,BDT,৳,Bangladeshi taka (BDT),Bengali
BGR,Republic of Bulgaria,Bulgarian lev,BGN,лв,Bulgarian lev (BGN),Bulgarian
BHR,Kingdom of Bahrain,Bahraini dinar,BHD,.د.ب,Bahraini dinar (BHD),Arabic
BHS,Commonwealth of the Bahamas,Bahamian dollar,BSD,$,"Bahamian dollar (BSD), United States dollar (USD)",English
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina convertible mark,BAM,KM,Bosnia and Herzegovina convertible mark (BAM),"Bosnian, Croatian, Serbian"
BLR,Republic of Belarus,Belarusian ruble,BYN,Br,Belarusian ruble (BYN),"Belarusian, Russian"
BLZ,Belize,Belize dollar,BZD,$,Belize dollar (BZD),"Belizean Creole, English, Spanish"
BMU,Bermuda,Bermudian dollar,BMD,$,Bermudian dollar (BMD),English
BOL,Plurinational State of Bolivia,Bolivian boliviano,BOB,Bs.,Bolivian boliviano (BOB),"Aymara, Guaraní, Quechua, Spanish"
BRA,Federative Republic of Brazil,Brazilian real,BRL,R$,Brazilian real (BRL),Portuguese
BRB,Barbados,Barbadian dollar,BBD,$,Barbadian dollar (BBD),English
BRN,"Nation of Brunei, Abode of Peace",Brunei dollar,BND,$,"Brunei dollar (BND), Singapore dollar (SGD)",Malay
BTN,Kingdom of Bhutan,Bhutanese ngultrum,BTN,Nu.,"Bhutanese ngultrum (BTN), Indian rupee (INR)",Dzongkha
BWA,Republic of Botswana,Botswana pula,BWP,P,Botswana pula (BWP),"English, Tswana"
CAF,Central African Republic,Central African CFA franc,XAF,Fr,Central African CFA franc (XAF),"French, Sango"
CAN,Canada,Canadian dollar,CAD,$,Canadian dollar (CAD),"English, French"
CHE,Swiss Confederation,Swiss franc,CHF,Fr.,Swiss franc (CHF),"French, Swiss German, Italian, Romansh"
CHI,Bailiwicks of Jersey and Guernsey,Pound sterling,GBP,£,Pound sterling (GBP),"English, French"
CHL,Republic of Chile,Chilean peso,CLP,$,Chilean peso (CLP),Spanish
CHN,People's Republic of China,Chinese yuan,CNY,¥,Chinese yuan (CNY),Chinese
CIV,Republic of Côte d'Ivoire,West African CFA franc,XOF,Fr,West African CFA franc (XOF),French
CMR,Republic of Cameroon,Central African CFA franc,XAF,Fr,Central African CFA franc (XAF),"English, French"
COD,Democratic Republic of the Congo,Congolese franc,CDF,FC,Congolese franc (CDF),"French, Kikongo, Lingala, Tshiluba, Swahili"
COG,Republic of the Congo,Central African CFA franc,XAF,Fr,Central African CFA franc (XAF),"French, Kikongo, Lingala"
COL,Republic of Colombia,Colombian peso,COP,$,Colombian peso (COP),Spanish
COM,Union of the Comoros,Comorian franc,KMF,Fr,Comorian franc (KMF),"Arabic, French, Comorian"
CPV,Republic of Cabo Verde,Cape Verdean escudo,CVE,Esc,Cape Verdean escudo (CVE),Portuguese
CRI,Republic of Costa Rica,Costa Rican colón,CRC,₡,Costa Rican colón (CRC),Spanish
CUB,Republic of Cuba,Cuban peso,CUP,$,"Cuban convertible peso (CUC), Cuban peso (CUP)",Spanish
CUW,Country of Curaçao,Netherlands Antillean guilder,ANG,ƒ,Netherlands Antillean guilder (ANG),"English, Dutch, Papiamento"
CYM,Cayman Islands,Cayman Islands dollar,KYD,$,Cayman Islands dollar (KYD),English
CYP,Republic of Cyprus,Euro,EUR,€,Euro (EUR),"Greek, Turkish"
CZE,Czech Republic,Czech koruna,CZK,Kč,Czech koruna (CZK),"Czech, Slovak"
DEU,Federal Republic of Germany,Euro,EUR,€,Euro (EUR),German
DJI,Republic of Djibouti,Djiboutian franc,DJF,Fr,Djiboutian franc (DJF),"Arabic, French"
DMA,Commonwealth of Dominica,Eastern Caribbean dollar,XCD,$,Eastern Caribbean dollar (XCD),English
DNK,Kingdom of Denmark,Danish krone,DKK,kr,Danish krone (DKK),Danish
DOM,Dominican Republic,Dominican peso,DOP,$,Dominican peso (DOP),Spanish
DZA,People's Democratic Republic of Algeria,Algerian dinar,DZD,د.ج,Algerian dinar (DZD),Arabic
ECU,Republic of Ecuador,United States dollar,USD,$,United States dollar (USD),Spanish
EGY,Arab Republic of Egypt,Egyptian pound,EGP,£,Egyptian pound (EGP),Arabic
ERI,State of Eritrea,Eritrean nakfa,ERN,Nfk,Eritrean nakfa (ERN),"Arabic, English, Tigrinya"
ESP,Kingdom of Spain,Euro,EUR,€,Euro (EUR),Spanish
EST,Republic of Estonia,Euro,EUR,€,Euro (EUR),Estonian
