iso3,minimum_wage_monthly_local,currency_code,year_reported
ABW,,,
AFG,5500,AFN,2024
AGO,70000,AOA,2024
ALB,50000,ALL,2026
AND,1376.27,EUR,2024
ARE,,,
ARG,271571,ARS,2024
ARM,75000,AMD,2024
ASM,,,
ATG,1558.8,XCD,2024
AUS,4023.436,AUD,2024
AUT,,,
AZE,345,AZN,2024
BDI,4156.8,BIF,2024
BEL,2234,EUR,2026
BEN,52000,XOF,2024
BFA,45000,XOF,2024
BGD,12500,BDT,2024
BGR,620,BGN,2026
BHR,300,BHD,2024
BHS,1125.8,BSD,2024
BIH,626,BAM,2024
BLR,626,BYN,2024
BLZ,1039.2,BZD,2024
BMU,,,
BOL,2500,BOB,2024
BRA,1412,BRL,2024
BRB,1473.33,BBD,2024
BRN,,,
BTN,3750,BTN,2024
BWA,1883.03,BWP,2024
CAF,35000,XAF,2024
CAN,2884,CAD,2024
CHE,4212.224,CHF,2024
CHI,,,
CHL,500000,CLP,2024
CHN,1930,CNY,2024
CIV,75000,XOF,2024
CMR,43969,XAF,2024
COD,183950,CDF,2024
COG,120000,XAF,2024
COL,1300000,COP,2024
COM,55000,KMF,2024
CPV,15000,CVE,2024
CRI,358609,CRC,2024
CUB,2100,CUP,2024
CUW,,,
CYM,,,
CYP,1088,EUR,2026
CZE,22400,CZK,2026
DEU,2343,EUR,2026
DJI,,,
DMA,1560,XCD,2024
DNK,,,
DOM,19450,DOP,2024
DZA,20000,DZD,2024
ECU,470,USD,2024
EGY,6000,EGP,2024
ERI,,,
ESP,1425,EUR,2026
EST,946,EUR,2026
ETH,420,ETB,2011
FIN,,,
FJI,935.28,FJD,2024
FRA,1867,EUR,2026
FRO,,,
FSM,,,
GAB,150000,XAF,2024
GBR,1981.4,GBP,2024
GEO,20,GEL,2024
GHA,471.53,GHS,2024
GIB,,,
GIN,550000,GNF,2024
GMB,1300,GMD,2024
GNB,19030,XOF,2024
GNQ,117304,XAF,2023
GRC,1073,EUR,2026
GRD,1200,XCD,2024
GRL,,,
GTM,3343.01,GTQ,2024
GUM,,,
GUY,60147,GYD,2024
HKG,40,HKD,2024
HND,11507.77,HNL,2024
HRV,1050,EUR,2026
HTI,17810,HTG,2024
HUN,322800,HUF,2026
IDN,5067381,IDR,2024
IMN,,,
IND,4628,INR,2024
IRL,2391,EUR,2026
IRN,53073300,IRR,2024
IRQ,350000,IQD,2024
ISL,425985,ISK,2024
ISR,5880.02,ILS,2024
ITA,,,
JAM,64950,JMD,2024
JOR,260,JOD,2024
JPN,182726,JPY,2024
KAZ,85000,KZT,2024
KEN,16033.14,KES,2024
KGZ,2534,KGS,2024
KHM,200,KHR,2024
KIR,270.4,AUD,2024
KNA,1560,XCD,2024
KOR,2060740,KRW,2024
KWT,75,KWD,2024
LAO,1600000,LAK,2024
LBN,18000000,LBP,2024
LBR,91,LRD,2024
LBY,1000,LYD,2024
LCA,,,
LIE,,,
LKA,17500,LKR,2024
LSO,1881,LSL,2024
LTU,1153,EUR,2026
LUX,2771,EUR,2026
LVA,780,EUR,2026
MAC,,,
MAF,,,
MAR,3120,MAD,2024
MCO,11.65,EUR,2024
MDA,6300,MDL,2026
MDG,262880,MGA,2024
MDV,5700,MVR,2022
MEX,6467.201,MXN,2024
MHL,624,USD,2024
MKD,38507,MKD,2026
MLI,40000,XOF,2024
MLT,994,EUR,2026
MMR,124800,MMK,2024
MNE,670,EUR,2026
MNG,660000,MNT,2024
MNP,,,
MOZ,9497.5,MZN,2024
MRT,3000,MRU,2022
MUS,15000,MUR,2024
MWI,90000,MWK,2024
MYS,1500,MYR,2024
NAM,,,
NCL,166536,XPF,2024
NER,42000,XOF,2024
NGA,65000,NGN,2024
NIC,7692.75,NIO,2024
NLD,2338,EUR,2026
NOR,,,
NPL,17300,NPR,2024
NRU,,,
NZL,4009.58,NZD,2024
OMN,325,OMR,2024
PAK,37000,PKR,2024
PAN,482.18,PAB,2024
PER,1025,PEN,2024
PHL,8302,PHP,2024
PLW,883,USD,2024
PNG,728,PGK,2024
POL,4806,PLN,2026
PRI,,,
PRK,,,
PRT,1073,EUR,2026
PRY,2798309,PYG,2024
PSE,1450,ILS,2013
PYF,,,
QAT,1000,QAR,2024
ROU,4325,RON,2026
RUS,19242,RUB,2024
RWA,2600,RWF,2024
SAU,4000,SAR,2024
SDN,425,SDG,2024
SEN,64175,XOF,2024
SGP,,,
SLB,1664,SBD,2024
SLE,800,SLL,2024
SLV,365,USD,2024
SMR,1728.38,EUR,2024
SOM,,,
SRB,87207,RSD,2026
SSD,,,
STP,,,
SUR,4160,SRD,2024
SVK,915,EUR,2026
SVN,1482,EUR,2026
SWE,,,
SWZ,600,SZL,2024
SXM,,,
SYC,6628.364,SCR,2024
SYR,14760,SYP,2024
TCA,,,
TCD,60000,XAF,2024
TGO,52500,XOF,2024
THA,8963,THB,2024
TJK,800,TJS,2024
TKM,1280,TMT,2024
TLS,115,USD,2024
TON,,,
TTO,3550,TTD,2024
TUN,491.504,TND,2024
TUR,33030,TRY,2026
TUV,,,
TZA,150000,TZS,2024
UGA,130000,UGX,2024
UKR,8647,UAH,2026
URY,22268,UYU,2024
USA,1257,USD,2026
UZB,1050000,UZS,2024
VCT,1310,XCD,2024
VEN,130,VES,2024
VGB,,,
VIR,,,
VNM,4960000,VND,2024
VUT,57165,VUV,2024
WSM,832,WST,2024
XKX,,,
YEM,,,
ZAF,4776.85,ZAR,2024
ZMB,1300,ZMW,2024
ZWE,,,
