iso3,minimum_wage_monthly_usd,exchange_rate_used,exchange_rate_year
ABW,,,
AFG,,,
AGO,80.47,869.846189590008,2024
ALB,536.92,93.1233333333333,2024
AND,1488.88,0.924367447270267,2024
ARE,,,
ARG,296.9,914.694883333333,2024
ARM,190.97,392.729551399084,2024
ASM,,,
ATG,577.33,2.7,2024
AUS,2655.11,1.51535803855596,2024
AUT,,,
AZE,202.94,1.7,2024
BDI,1.44,2885.24549799567,2024
BEL,2524.38,0.88496895841236,2025
BEN,85.76,606.345297609063,2024
BFA,74.22,606.345297609063,2024
BGD,108.13,115.603653796648,2024
BGR,357.31,1.73519166666667,2025
BHR,797.87,0.376,2024
BHS,1125.8,1,2024
BIH,346.32,1.80756356165183,2024
BLR,192.84,3.24619166666667,2024
BLZ,519.6,2,2024
BMU,,,
BOL,361.79,6.91,2024
BRA,262.02,5.3889349057096,2024
BRB,736.67,2,2024
BRN,,,
BTN,44.82,83.669281580941,2024
BWA,138.83,13.5631333333333,2024
CAF,57.72,606.345297609063,2024
CAN,2106.09,1.36935976604092,2024
CHE,4784.22,0.880440833333333,2024
CHI,,,
CHL,529.9,943.572167421488,2024
CHN,268.15,7.19749110789917,2024
CIV,123.69,606.345297609063,2024
CMR,72.51,606.345297609063,2024
COD,78.61,2340.03570436145,2023
COG,197.91,606.345297609063,2024
COL,319.06,4074.43416666667,2024
COM,121.01,454.523861252,2024
CPV,147.17,101.922010798199,2024
CRI,696.18,515.109771921403,2024
CUB,,,
CUW,,,
CYM,,,
CYP,1229.42,0.88496895841236,2025
CZE,1023.67,21.882,2025
DEU,2647.55,0.88496895841236,2025
DJI,,,
DMA,577.78,2.7,2024
DNK,,,
DOM,326.53,59.5651333333333,2024
DZA,149.19,134.053241666667,2024
ECU,470,1,2024
EGY,132.45,45.29926,2024
ERI,,,
ESP,1610.23,0.88496895841236,2025
EST,1068.96,0.88496895841236,2025
ETH,24.85,16.8992257595275,2011
FIN,,,
FJI,412.33,2.2683,2024
FRA,2109.68,0.88496895841236,2025
FRO,,,
FSM,,,
GAB,247.38,606.345297609063,2024
GBR,2532.42,0.782414580986262,2024
GEO,7.35,2.72061666666667,2024
GHA,33.25,14.1819416666667,2024
GIB,,,
GIN,,,
GMB,19.21,67.661238258942,2024
GNB,31.38,606.345297609063,2024
GNQ,193.39,606.569750165917,2023
GRC,1212.47,0.88496895841236,2025
GRD,444.44,2.7,2024
GRL,,,
GTM,430.88,7.7585375,2024
GUM,,,
GUY,288.47,208.5,2024
HKG,5.13,7.80383333333334,2024
HND,464.04,24.7992824415521,2024
HRV,1186.48,0.88496895841236,2025
HTI,135.12,131.810991666667,2024
HUN,914.09,353.14,2025
IDN,319.6,15855.4482866711,2024
IMN,,,
IND,55.31,83.669281580941,2024
IRL,2701.79,0.88496895841236,2025
IRN,1263.65,42000,2023
IRQ,269.23,1300,2024
ISL,3087.79,137.958025978154,2024
ISR,1589.32,3.69971964970892,2024
ITA,,,
JAM,415.18,156.439540115298,2024
JOR,366.2,0.71,2024
